sigma_spatial,sigma_range,MSE,PSNR,SSIM,Perceptual,Method
1.5,10,0.0071569657456858485,21.452710613797727,0.6946350986308447,0.13851864635944366,RGB (denoised in CIELAB)
1.5,15,0.005402637837378845,22.673941441579288,0.7269506843305985,0.12054874002933502,RGB (denoised in CIELAB)
1.5,20,0.004583884089486286,23.387663727014317,0.7463891088712495,0.1379777491092682,RGB (denoised in CIELAB)
1.5,25,0.004438564576468558,23.527574572076038,0.7525462739861065,0.17382048070430756,RGB (denoised in CIELAB)
1.5,30,0.004651123591806146,23.324421200614207,0.7501679197900768,0.2190660983324051,RGB (denoised in CIELAB)
1.5,35,0.005017415698369554,22.99519915709533,0.7434701406721013,0.26770836114883423,RGB (denoised in CIELAB)
1.5,40,0.005425213124680986,22.655831962711677,0.735134254479889,0.31571775674819946,RGB (denoised in CIELAB)
1.5,45,0.005819798110647767,22.35092080805853,0.726614059489587,0.3601018488407135,RGB (denoised in CIELAB)
2.0,5,0.008853476948816915,20.528861391171134,0.6689866024373933,0.17870116233825684,RGB (denoised in CIELAB)
2.0,10,0.0067373048568916735,21.715138007740332,0.69969203547494,0.13096857070922852,RGB (denoised in CIELAB)
2.0,15,0.005173870574019822,22.86184439495015,0.7269933712142077,0.12318455427885056,RGB (denoised in CIELAB)
2.0,20,0.004721509762619729,23.259191079904234,0.7353361749054915,0.15098163485527039,RGB (denoised in CIELAB)
2.0,25,0.004948323702287816,23.055418980649304,0.7290624230060826,0.1926925927400589,RGB (denoised in CIELAB)
2.0,30,0.005503622798488836,22.59351338971033,0.715213339823161,0.2390604317188263,RGB (denoised in CIELAB)
2.0,35,0.00617532757362099,22.093400000694746,0.6986652524061228,0.2860921025276184,RGB (denoised in CIELAB)
2.0,40,0.006849187093777147,21.643609703523406,0.6821135629949091,0.33105528354644775,RGB (denoised in CIELAB)
2.0,45,0.007471580076390191,21.265875446515352,0.666828718283297,0.37307626008987427,RGB (denoised in CIELAB)
2.5,5,0.008739213659325291,20.585276427408175,0.6702640903952602,0.17556966841220856,RGB (denoised in CIELAB)
2.5,10,0.006488624251197425,21.87847374609376,0.7019576939557214,0.12840336561203003,RGB (denoised in CIELAB)
2.5,15,0.005141134356363387,22.889410463051565,0.7231429022092711,0.12861350178718567,RGB (denoised in CIELAB)
2.5,20,0.004975782386325281,23.031386215818536,0.7220878278992044,0.16235899925231934,RGB (denoised in CIELAB)
2.5,25,0.005489067030852564,22.60501465711073,0.7062119929044067,0.20821253955364227,RGB (denoised in CIELAB)
2.5,30,0.006321096032308222,21.992076116680078,0.6836193602659778,0.2575545310974121,RGB (denoised in CIELAB)
2.5,35,0.007251728019568898,21.395584927474417,0.6594498570005386,0.3060607314109802,RGB (denoised in CIELAB)
2.5,40,0.008158999545287187,20.88363091074415,0.6364174900799732,0.3518097400665283,RGB (denoised in CIELAB)
2.5,45,0.008985467742659334,20.464593105674073,0.6157231692282991,0.3932355046272278,RGB (denoised in CIELAB)
3.0,5,0.008639206817325424,20.635261291266257,0.6713376456391013,0.17305533587932587,RGB (denoised in CIELAB)
3.0,10,0.006340142051055044,21.979010116295854,0.70282359945404,0.12814995646476746,RGB (denoised in CIELAB)
3.0,15,0.0051843479045558345,22.853058620836364,0.7186600724489739,0.13431398570537567,RGB (denoised in CIELAB)
3.0,20,0.005242062704123568,22.804977884462694,0.7105839475549751,0.17145150899887085,RGB (denoised in CIELAB)
3.0,25,0.005984983110689904,22.229370708122115,0.6877187860273389,0.22000150382518768,RGB (denoised in CIELAB)
3.0,30,0.007050427923579553,21.517845228370746,0.6586341634215164,0.2725447118282318,RGB (denoised in CIELAB)
3.0,35,0.008207221265662399,20.858038578938178,0.628635188064817,0.3246144652366638,RGB (denoised in CIELAB)
3.0,40,0.009322187687267001,20.304821574939904,0.6005401140729801,0.37341558933258057,RGB (denoised in CIELAB)
3.0,45,0.01033191056508098,19.858193618153994,0.5755590350992211,0.41680118441581726,RGB (denoised in CIELAB)
3.5,5,0.008551513192887564,20.679570299297968,0.6722640587192673,0.17104719579219818,RGB (denoised in CIELAB)
3.5,10,0.00624862209425742,22.04215739909564,0.7030997581462924,0.12897415459156036,RGB (denoised in CIELAB)
3.5,15,0.005255071064532065,22.7942140661472,0.7147331619280349,0.13950030505657196,RGB (denoised in CIELAB)
3.5,20,0.005491543585121483,22.603055651534483,0.7016450630003215,0.1785489320755005,RGB (denoised in CIELAB)
3.5,25,0.006427651532637923,21.91947676021121,0.6737678813802646,0.22880101203918457,RGB (denoised in CIELAB)
3.5,30,0.007698990877812409,21.135661949467313,0.6398290315844893,0.2839576303958893,RGB (denoised in CIELAB)
3.5,35,0.009060648282155638,20.428407277878122,0.6053045843404239,0.33944645524024963,RGB (denoised in CIELAB)
3.5,40,0.010366017494164144,19.843880625606836,0.5731778499041971,0.39181894063949585,RGB (denoised in CIELAB)
3.5,45,0.011544456000528565,19.37626527150006,0.5447357769213128,0.4385744631290436,RGB (denoised in CIELAB)
